UAN,Age,State_Origin,State_Current,Occupation_Sector,Daily_Wage,Skill_Level,Scheme_Enrolled,Registration_Date
MOCK-UAN-2824-1409,65,Uttar Pradesh,Jharkhand,Construction,374,Unskilled,PM-Kisan,2026-04-08
MOCK-UAN-9279-1434,53,Maharashtra,Maharashtra,Domestic Worker,893,Highly-skilled,eShram,2025-12-18
MOCK-UAN-1106-3615,62,Gujarat,Jharkhand,Gig Worker,732,Skilled,PM-SYM,2024-12-18
MOCK-UAN-6881-6635,56,Uttar Pradesh,Uttar Pradesh,Manufacturing,376,Unskilled,None,2024-12-04
MOCK-UAN-6925-4150,63,Bihar,Uttar Pradesh,Agriculture,288,Unskilled,eShram,2024-12-27
MOCK-UAN-8428-6977,28,Tamil Nadu,Uttar Pradesh,Construction,488,Semi-skilled,PM-Kisan,2025-05-21
MOCK-UAN-4598-6313,21,Maharashtra,Maharashtra,Agriculture,978,Highly-skilled,Ayushman Bharat,2024-11-21
MOCK-UAN-6155-4483,59,Karnataka,West Bengal,Gig Worker,738,Skilled,eShram,2025-05-25
MOCK-UAN-9830-5304,65,Odisha,Gujarat,Agriculture,426,Semi-skilled,eShram,2026-02-18
MOCK-UAN-1771-2796,27,Jharkhand,Jharkhand,Manufacturing,327,Unskilled,None,2025-10-10
MOCK-UAN-8668-9669,34,West Bengal,West Bengal,Construction,326,Unskilled,PM-Kisan,2025-06-15
MOCK-UAN-6573-2827,36,Gujarat,Andhra Pradesh,Agriculture,426,Semi-skilled,PM-Kisan,2025-01-01
MOCK-UAN-5889-9317,56,Maharashtra,Jharkhand,Domestic Worker,312,Unskilled,PM-Kisan,2025-08-12
MOCK-UAN-2832-6947,37,Maharashtra,Bihar,Construction,854,Highly-skilled,PM-SYM,2026-03-14
MOCK-UAN-3103-8787,53,Jharkhand,Karnataka,Gig Worker,463,Semi-skilled,Ayushman Bharat,2025-10-28
MOCK-UAN-7118-8177,51,Karnataka,Maharashtra,Construction,8209,Skilled,PM-SYM,2026-05-10
MOCK-UAN-4608-1117,22,Andhra Pradesh,Bihar,Agriculture,249,Unskilled,PM-Kisan,2025-05-16
MOCK-UAN-8953-4510,52,Jharkhand,Jharkhand,Domestic Worker,915,Highly-skilled,eShram,2026-01-12
MOCK-UAN-4119-2545,24,Gujarat,Karnataka,Manufacturing,254,Unskilled,PM-SYM,2024-11-16
MOCK-UAN-6559-2790,33,Maharashtra,West Bengal,Gig Worker,929,Highly-skilled,eShram,2025-06-27
MOCK-UAN-2235-8260,53,Bihar,Odisha,Construction,423,Unskilled,eShram,2025-03-04
MOCK-UAN-8886-4502,43,Andhra Pradesh,Bihar,Manufacturing,588,Skilled,None,2025-07-04
MOCK-UAN-8973-3536,30,Uttar Pradesh,Andhra Pradesh,Domestic Worker,303,Unskilled,Ayushman Bharat,2025-06-28
MOCK-UAN-9701-3579,21,West Bengal,Jharkhand,Construction,278,Unskilled,eShram,2026-06-20
MOCK-UAN-1651-2343,44,Odisha,Tamil Nadu,Agriculture,422,Semi-skilled,Ayushman Bharat,2025-05-17
MOCK-UAN-3144-5915,47,Tamil Nadu,Tamil Nadu,Construction,355,Unskilled,None,2026-06-13
MOCK-UAN-2638-2200,52,Maharashtra,Jharkhand,Agriculture,242,Unskilled,eShram,2025-09-28
MOCK-UAN-8179-9900,63,Uttar Pradesh,Uttar Pradesh,Domestic Worker,318,Unskilled,PM-Kisan,2025-07-18
MOCK-UAN-2697-3200,34,Bihar,Bihar,Domestic Worker,419,Semi-skilled,Ayushman Bharat,2025-06-30
MOCK-UAN-6617-4335,61,Uttar Pradesh,Tamil Nadu,Construction,335,Unskilled,None,2025-04-21
MOCK-UAN-5291-3647,65,Karnataka,Gujarat,Domestic Worker,269,Unskilled,PM-SYM,2024-12-01
MOCK-UAN-3442-9938,20,Tamil Nadu,Jharkhand,Manufacturing,542,Semi-skilled,PM-SYM,2025-07-27
MOCK-UAN-1653-6862,31,Maharashtra,Maharashtra,Agriculture,899,Highly-skilled,PM-Kisan,2025-02-20
MOCK-UAN-4878-3662,-1,Gujarat,Tamil Nadu,Manufacturing,397,Semi-skilled,Ayushman Bharat,2025-02-25
MOCK-UAN-2771-7267,20,Karnataka,West Bengal,Agriculture,641,Skilled,eShram,2026-05-11
MOCK-UAN-5564-2137,35,Tamil Nadu,Tamil Nadu,Manufacturing,538,Skilled,PM-SYM,2025-01-11
MOCK-UAN-5279-3925,55,Uttar Pradesh,Karnataka,Agriculture,610,Skilled,None,2026-05-28
MOCK-UAN-2894-7311,54,Maharashtra,Karnataka,Construction,402,Semi-skilled,Ayushman Bharat,2025-06-11
MOCK-UAN-3041-5920,50,Uttar Pradesh,Uttar Pradesh,Agriculture,833,Highly-skilled,Ayushman Bharat,2025-06-13
MOCK-UAN-3851-5930,43,West Bengal,West Bengal,Agriculture,609,Skilled,eShram,2025-11-29
MOCK-UAN-6279-8618,46,Karnataka,Karnataka,Domestic Worker,936,Highly-skilled,eShram,2025-04-27
MOCK-UAN-4848-6085,32,Maharashtra,Andhra Pradesh,Gig Worker,1008,Highly-skilled,PM-Kisan,2024-11-28
MOCK-UAN-4185-7291,49,Gujarat,Andhra Pradesh,Construction,944,Highly-skilled,eShram,2025-03-14
MOCK-UAN-9486-8611,21,West Bengal,Bihar,Manufacturing,434,Semi-skilled,None,2026-07-30
MOCK-UAN-6198-8251,57,West Bengal,Odisha,Manufacturing,376,Semi-skilled,None,2025-12-19
MOCK-UAN-5050-5543,51,Karnataka,Karnataka,Agriculture,864,Highly-skilled,PM-SYM,2026-09-15
MOCK-UAN-5451-6502,38,West Bengal,Jharkhand,Gig Worker,976,Highly-skilled,eShram,2026-09-08
MOCK-UAN-7797-7678,39,West Bengal,Andhra Pradesh,Gig Worker,1052,Highly-skilled,None,2026-05-06
MOCK-UAN-1320-7232,48,Andhra Pradesh,Andhra Pradesh,Agriculture,7,Highly-skilled,None,2026-03-20
MOCK-UAN-9947-4613,49,Maharashtra,West Bengal,Construction,861,Highly-skilled,Ayushman Bharat,2026-07-31
MOCK-UAN-7624-3704,47,Jharkhand,Jharkhand,Domestic Worker,316,Unskilled,None,2026-05-14
MOCK-UAN-1444-2375,59,Gujarat,West Bengal,Gig Worker,380,Unskilled,Ayushman Bharat,2025-10-08
MOCK-UAN-8449-6355,39,Gujarat,Karnataka,Agriculture,266,Unskilled,None,2024-10-04
MOCK-UAN-1853-6733,32,Bihar,Bihar,Construction,380,Unskilled,eShram,2025-04-07
MOCK-UAN-3496-4908,26,Karnataka,Karnataka,Domestic Worker,501,Semi-skilled,None,2026-09-01
MOCK-UAN-7043-3749,56,Odisha,Odisha,Construction,546,Semi-skilled,Ayushman Bharat,2025-01-03
MOCK-UAN-6111-7149,43,Maharashtra,Uttar Pradesh,Construction,608,Skilled,PM-Kisan,2025-01-16
MOCK-UAN-1672-6688,52,Gujarat,Gujarat,Construction,634,Skilled,PM-SYM,2025-11-19
MOCK-UAN-2729-8102,41,Karnataka,Karnataka,Manufacturing,466,Semi-skilled,PM-Kisan,2026-07-13
MOCK-UAN-9817-8921,47,Gujarat,Gujarat,Domestic Worker,648,Skilled,Ayushman Bharat,2025-05-24
MOCK-UAN-2419-5569,46,Maharashtra,Maharashtra,Domestic Worker,876,Highly-skilled,Ayushman Bharat,2024-10-14
MOCK-UAN-6325-3979,49,Maharashtra,Tamil Nadu,Agriculture,590,Skilled,PM-Kisan,2026-09-03
MOCK-UAN-1166-9464,30,Bihar,Karnataka,Manufacturing,394,Semi-skilled,None,2026-07-08
MOCK-UAN-8342-1282,23,Uttar Pradesh,Maharashtra,Agriculture,540,Skilled,None,2026-04-04
MOCK-UAN-7971-6419,40,Karnataka,Uttar Pradesh,Gig Worker,440,Unskilled,eShram,2026-04-07
MOCK-UAN-8933-5530,64,Odisha,Odisha,Domestic Worker,667,Skilled,PM-SYM,2025-04-01
MOCK-UAN-6912-3939,37,Andhra Pradesh,Andhra Pradesh,Gig Worker,696,Skilled,PM-SYM,2024-11-09
MOCK-UAN-3068-9042,24,Andhra Pradesh,West Bengal,Manufacturing,950,Highly-skilled,Ayushman Bharat,2025-03-22
